turn,droped_cards_p1,droped_cards_p2,p1_point,p2_point,select_card,action,hand
1,[1],[5],0,0,[],0,"[8, 5, 1, 8, 6, 6, 1, 6]"
1,"[1, 1]","[5, 9]",0,0,[],0,"[8, 9, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8]","[5, 9, 13]",0,0,[],0,"[8, 13, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6]","[5, 9, 13, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1]","[5, 9, 13, 1, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20]","[5, 9, 13, 1, 1, 10]",0,0,[],0,"[8, 10, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20, 6]","[5, 9, 13, 1, 1, 10]",0,0,"[1, 1, 6, 8, 8, 8]",1,"[8, 8, 1, 8, 6, 6, 1, 6]"
1,[1],[5],0,0,[],0,"[8, 5, 1, 8, 6, 6, 1, 6]"
1,"[1, 1]","[5, 9]",0,0,[],0,"[8, 9, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8]","[5, 9, 13]",0,0,[],0,"[8, 13, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6]","[5, 9, 13, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1]","[5, 9, 13, 1, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20]","[5, 9, 13, 1, 1, 10]",0,0,[],0,"[8, 10, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20, 6]","[5, 9, 13, 1, 1, 10]",0,0,"[1, 1, 6, 8, 8, 8]",1,"[8, 8, 1, 8, 6, 6, 1, 6]"
2,[],[],5,35,"[19, 8, 1]",1,"[19, 8, 1, 1, 1, 1, 14, 1]"
1,[6],[],0,0,"[1, 1]",1,"[1, 1, 1, 6, 1, 1, 1, 7]"
1,[],[6],0,0,[],0,"[29, 1, 1, 13, 15, 6, 1, 30]"
1,[20],"[6, 13]",0,0,[],0,"[29, 1, 1, 13, 15, 6, 1, 30]"
1,"[20, 30]","[6, 13, 29]",0,0,[],0,"[29, 1, 1, 8, 15, 6, 1, 30]"
1,"[20, 30, 14]","[6, 13, 29, 30]",0,0,[],0,"[1, 1, 1, 8, 15, 6, 1, 30]"
1,"[20, 30, 14, 17]","[6, 13, 29, 30, 16]",0,0,[],0,"[1, 1, 1, 8, 15, 6, 1, 16]"
1,"[20, 30, 14, 17, 8]","[6, 13, 29, 30, 16, 6]",0,0,[],0,"[1, 1, 1, 8, 15, 6, 1, 3]"
1,"[20, 30, 14, 17, 8, 17]","[6, 13, 29, 30, 16, 6, 3]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 3]"
1,"[20, 30, 14, 17, 8, 17, 8]","[6, 13, 29, 30, 16, 6, 3, 1]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 15]"
1,"[20, 30, 14, 17, 8, 17, 8, 1]","[6, 13, 29, 30, 16, 6, 3, 1, 15]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 15]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 6]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 6]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 6]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 26]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 4]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 14]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8, 26]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14, 11]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 11]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8, 26, 8]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14, 11, 6]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 6]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8, 26, 8, 1]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14, 11, 6, 1]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 8]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8, 26, 8, 1, 11]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14, 11, 6, 1, 6]",0,0,[],0,"[1, 6, 1, 8, 15, 1, 1, 8]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8, 26, 8, 1, 11, 53]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14, 11, 6, 1, 6, 1]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 8]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8, 26, 8, 1, 11, 53, 6]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14, 11, 6, 1, 6, 1, 1]",0,0,[],0,"[1, 8, 1, 8, 15, 1, 1, 8]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1, 8, 26, 8, 1, 11, 53, 6, 8]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4, 14, 11, 6, 1, 6, 1, 1]",0,0,"[15, 1, 1, 1, 8, 8, 8, 8]",1,"[8, 8, 1, 8, 15, 1, 1, 8]"
2,[],[3],5,135,[],0,"[6, 1, 1, 3, 6, 1, 6, 8]"
2,[8],"[3, 6]",5,135,[],0,"[6, 1, 1, 6, 6, 1, 6, 8]"
2,"[8, 11]","[3, 6, 6]",5,135,[],0,"[6, 1, 1, 6, 6, 1, 1, 8]"
2,"[8, 11, 26]","[3, 6, 6, 12]",5,135,[],0,"[6, 1, 1, 6, 12, 1, 1, 8]"
2,"[8, 11, 26, 16]","[3, 6, 6, 12, 30]",5,135,[],0,"[6, 1, 1, 6, 30, 1, 1, 8]"
2,"[8, 11, 26, 16, 2]","[3, 6, 6, 12, 30, 8]",5,135,[],0,"[6, 1, 1, 6, 1, 1, 1, 8]"
2,"[8, 11, 26, 16, 2, 6]","[3, 6, 6, 12, 30, 8, 6]",5,135,[],0,"[6, 1, 1, 6, 1, 1, 1, 6]"
2,"[8, 11, 26, 16, 2, 6, 53]","[3, 6, 6, 12, 30, 8, 6, 30]",5,135,[],0,"[6, 1, 1, 6, 1, 1, 1, 30]"
2,"[8, 11, 26, 16, 2, 6, 53, 15]","[3, 6, 6, 12, 30, 8, 6, 30]",5,135,"[6, 6, 1, 1, 1, 1, 1, 1]",1,"[6, 1, 1, 6, 1, 1, 1, 1]"
3,[],[4],10,254,[],0,"[4, 5, 18, 26, 4, 6, 1, 53]"
3,[1],"[4, 26]",10,254,[],0,"[4, 5, 18, 26, 8, 6, 1, 53]"
3,"[1, 3]","[4, 26, 18]",10,254,[],0,"[4, 5, 18, 6, 8, 6, 1, 53]"
3,"[1, 3, 29]","[4, 26, 18, 5]",10,254,[],0,"[4, 5, 13, 6, 8, 6, 1, 53]"
3,"[1, 3, 29, 1]","[4, 26, 18, 5, 4]",10,254,[],0,"[4, 1, 13, 6, 8, 6, 1, 53]"
3,"[1, 3, 29, 1, 8]","[4, 26, 18, 5, 4, 13]",10,254,[],0,"[1, 1, 13, 6, 8, 6, 1, 53]"
3,"[1, 3, 29, 1, 8, 1]","[4, 26, 18, 5, 4, 13, 53]",10,254,[],0,"[1, 1, 8, 6, 8, 6, 1, 53]"
3,"[1, 3, 29, 1, 8, 1, 11]","[4, 26, 18, 5, 4, 13, 53, 19]",10,254,[],0,"[1, 1, 8, 6, 8, 6, 1, 19]"
3,"[1, 3, 29, 1, 8, 1, 11, 6]","[4, 26, 18, 5, 4, 13, 53, 19, 6]",10,254,[],0,"[1, 1, 8, 6, 8, 6, 1, 6]"
3,"[1, 3, 29, 1, 8, 1, 11, 6, 26]","[4, 26, 18, 5, 4, 13, 53, 19, 6, 1]",10,254,[],0,"[1, 1, 8, 6, 8, 6, 1, 1]"
3,"[1, 3, 29, 1, 8, 1, 11, 6, 26, 20]","[4, 26, 18, 5, 4, 13, 53, 19, 6, 1, 1]",10,254,[],0,"[1, 1, 8, 6, 8, 6, 1, 1]"
3,"[1, 3, 29, 1, 8, 1, 11, 6, 26, 20, 8]","[4, 26, 18, 5, 4, 13, 53, 19, 6, 1, 1, 1]",10,254,[],0,"[1, 1, 8, 6, 8, 6, 1, 1]"
1,[6],[1],0,0,[],0,"[1, 8, 1, 1, 5, 26, 1, 8]"
1,"[6, 1]","[1, 10]",0,0,[],0,"[1, 8, 10, 1, 5, 26, 1, 8]"
1,"[6, 1, 1]","[1, 10, 9]",0,0,[],0,"[1, 8, 9, 1, 5, 26, 1, 8]"
1,"[6, 1, 1, 1]","[1, 10, 9, 8]",0,0,[],0,"[1, 8, 1, 1, 5, 26, 1, 8]"
1,"[6, 1, 1, 1, 6]","[1, 10, 9, 8, 1]",0,0,[],0,"[1, 1, 1, 1, 5, 26, 1, 8]"
1,"[6, 1, 1, 1, 6, 6]","[1, 10, 9, 8, 1, 1]",0,0,[],0,"[1, 1, 1, 1, 5, 26, 1, 8]"
1,"[6, 1, 1, 1, 6, 6, 13]","[1, 10, 9, 8, 1, 1, 8]",0,0,[],0,"[1, 6, 1, 1, 5, 26, 1, 8]"
1,"[6, 1, 1, 1, 6, 6, 13, 1]","[1, 10, 9, 8, 1, 1, 8, 8]",0,0,[],0,"[1, 6, 1, 1, 5, 26, 1, 8]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8]",0,0,[],0,"[1, 6, 1, 1, 5, 26, 1, 8]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26]",0,0,[],0,"[1, 6, 1, 1, 5, 26, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5]",0,0,[],0,"[1, 6, 1, 1, 5, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1]",0,0,[],0,"[1, 6, 1, 1, 1, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20]",0,0,[],0,"[1, 6, 1, 1, 20, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7]",0,0,[],0,"[1, 6, 1, 1, 7, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10]",0,0,[],0,"[1, 6, 1, 1, 10, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53]",0,0,[],0,"[1, 6, 1, 1, 53, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6]",0,0,[],0,"[1, 6, 1, 1, 6, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6]",0,0,[],0,"[1, 6, 1, 1, 6, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1]",0,0,[],0,"[1, 6, 1, 1, 8, 19, 1, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15]",0,0,[],0,"[1, 6, 1, 1, 8, 19, 15, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19]",0,0,[],0,"[1, 6, 1, 1, 8, 19, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6]",0,0,[],0,"[1, 6, 1, 1, 8, 6, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29]",0,0,[],0,"[1, 6, 1, 1, 8, 29, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6]",0,0,[],0,"[1, 6, 1, 1, 8, 1, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26]",0,0,[],0,"[1, 26, 1, 1, 8, 1, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1]",0,0,[],0,"[1, 6, 1, 1, 8, 1, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6]",0,0,[],0,"[1, 6, 1, 1, 8, 6, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6]",0,0,[],0,"[1, 17, 1, 1, 8, 6, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3]",0,0,[],0,"[1, 17, 1, 1, 8, 3, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17]",0,0,[],0,"[1, 17, 1, 1, 8, 16, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2]",0,0,[],0,"[1, 2, 1, 1, 8, 16, 8, 15]"
